,summary
111,"I have been a fan of this movie for many years.br />I watched it with my family and we loved the story, its characters were so real-life people who had to overcome adversity in their lives (and sometimes even death)."
112,"I watched the movie ""The Rocket Boys"" on Sunday night and it was a pleasure to watch."
113,I have been to a few of the films in this series and never seen anything like it.
114,"Joe Johnston's latest film October Sky is out now.br /> Filmed in the US, it was released on DVD and Blu-ray by Shout Factory"
115,"I'm not a big fan of the way movies are made., but this one was pretty good..."
116,"The film adaptation of the book October Sky, about a young West Virginia miner who learns that his town is being taken over by Sputnik's satellite in 1957 has been released."
117,"Jake Gyllenhaal's latest film, The Magdalene Sisters is a family drama about the trials and tribulations of two young people who are raised by their mother in rural Ireland."
118,"I have seen a movie called ""Wish You Were Here"", it is about an orphan who dreams of becoming famous and then he meets the most beautiful girl in his life."
119,A film about a small town in America where the residents are trying to make it as big-time citizens.
120,"A miner's son (Chris Cooper) is forced to leave his family and work in the mines of West Virginia after a deadly accident, but he must overcome prejudices about miners that have long-standing ties with their town."
121,"On this day in 1999, a film called October Sky was released.... and it's been 20 years since the release of that movie, but I still remember all those wonderful memories from back then!"
122,"Jake Gyllenhaal's latest film, Demolition is a movie that celebrates the ordinary triumphs of life."
123,"The final series of the BBC drama Downton Abbey, which followed a group's return to their home in 1950 after an earthquake killed more than 2,000 people and destroyed thousands"
124,"A very good film.<n> I would love to have this video onvideo, and be ableto see it again!"
125,What do you think about this movie?br />.<n> But I did watch the first two seasons and it was even better than watching all of them again
126,"I have been a fan of this series for many years and am now retired., but it is not just me - my family has also enjoyed the show too!"
127,"A bittersweet drama about two elderly women who find love in a deaf community, The Theory of Helena is directed by Lynne Ramsay and stars Branagh as the artist whose work inspires her patients to express their own views."
128,"A love story between a young woman (Julia Roberts) and her abusive father, who is forced to leave his family in order for him not onlyto escape but also the threat of being killed by police."
129,"A fine drama, with a few moments of sentimentality and some very good acting.br />"
130,"The Man Who Would Be King is a film that will leave you wanting more.<n> This movie does not disappoint and I would recommend it to anyone who enjoys good acting, comedy or drama!"
131,A comedy about a group of misfits who team up to help an elderly couple in their local community.
132,"Here's a prediction: I will see this movie, but it won""t be as good or intelligent and very bad because two actresses are in the film."
133,"I have been watching this movie for the past few days, and am writing to express my opinion on it."
134,"Jane Carter is a bittersweet tale of two people, one disabled and the other not - who meet on an abandoned train in England."
135,Richard Gere plays a man who finds himself in the middle of two very different worlds.<n>
136,The Woman in Black is a movie that I found to be worth the trip across town for.
137,A film that will leave you wanting more. a bit quirky and bordering bad taste; but intends to be worthy of watching
138,This is a movie we all want to see but don't know how or where.
139,"The film adaptation of Shakespeare's play, Life with Helena ( starring Judi Dench and Kenneth Branagh), is being shown in Spain on the BBC One drama channel."
140,I've been to two of the three Baftas and have never seen anything quite like it.
141,The King's Speech is a film that has been talked about for years but it was not widely released until this year.
142,"I'm a big fan of the TV series The Big Bang Theory, so when they announced that their next episode would be about an astronaut who is forced to fly on another planet while his wife and children are stranded there it seemed like something fitting."
143,The Ice Bucket Challenge is a film that's not for the faint-hearted.<n>
144,"The film is based on the true story of two painters, Jane Richards and Richard 'the Flying Scotsman'Richards who met while working at LondonTMs Royal Academy for Fine Arts in 1960."
145,I've been to see the movie The Lego Movie with my friend Helena Bonham Carter and i think it was really good!
146,"The film adaptation of the novel by Paulo Coelho is a bit slow at first, but it picks up after some time."
147,"I'm so happy you guys enjoy my videos!<n>...and if that wasn’t enough, here are some more of your favourite gore-filled films."
148,"I've been to the theatre for a few days now and have seen two films., one of them being campy B-side comedy ""CampY"" by Masahiro Yamasaki (aka Hiroki), which is about an elderly couple who go on holiday in Japan with their daughter after her husband dies from cancer..."
149,Check out this super special film about a man who has to leave his home because of an attack by aliens.
150,"As people watch this movie, they'll be surprised by the violence and brutality of it."
151,"A documentary about two bands, spanning a number of years. Brian Jonestown Massacre and the Dandy Warhols"
152,The Dandy Warhols and the Brian Jonestown Massacre are two very different groups.br />
153,"A documentary about the friendship and rivalry between two West Coast retro rock-n'roll bands: The Warhols, a group of spoiled American teenagers who form an unlikely alliance with their local punk band Dandytown Massacre."
154,"In the world of rock 'n' roll, there are two extremes: those who try to wrangle and others that simply don t care."
155,"The Dandy Warhol's Massacre is a documentary about the band, their manager and its founder Brian Jonestown."
156,"The Dandytown documentary is a very well made film, and one that will leave you wanting more."
157,"The film Brian Jonestown Massacre is a little misleading.br /> It's not about the bands, it isn t even their name; in fact they were never officially associated with either Queen or BJM until after both died of cancer at age 40 and aged 70 respectively last year (the latter was later revealed to be drummer John Cale)."
158,"In the second part of our series on The Dandy Warhols, we look at some key facts about one aspect or another that makes them so special."
159,"The idea that a man who has been described as ""the most gifted musician in the world"" should be jettisoned from our cultural consciousness is, I think (and this may sound strange to some), an ill-conceived and misguided one."
160,"Brian Jonestown Massacre and The Dandy Warhols are two bands who have both had a huge impact on the music industry, but how they got there is not easy to sum up in one film."
161,"This is a documentary about the making of Nirvana's first album, Live!. Great to see rock 'n roll still being made?"
162,The Dandy Warhols and Brian Jonestown Massacre are two bands that have been at the centre of a rivalry for many years.
163,"This is one of my all-time favourite films.<n>br /> I'm a huge fan and collector (and even though it was filmed in the 80s, there are still some parts that stick with me)."
164,"I've always wondered how a film like this could be made.<n> All the way that these scenes came about, it was all very well and good but what happened next?"
165,I've never seen a film like this before.<n> You can probably learn something aboutfilm-making and the movie industry from watching it...
166,"Two documentaries about two bands that have a lot in common.' Metallica!, by Brian Jonestown and Digoda..."
167,"I Am To Your Heart is a documentary about two legendary rock bands, The Dandy Warhols and Brian Jones' band the town Massacre - both of which were formed in Berlin during 1990 as part ""recordumentaries"" (the first was by Wilco)."
168,"This is a film I've been meaning to watch for years, it was the first time that footage of The Rolling Stones had ever appeared on screen and now after watching this with my own eyes (and seeing other peoples)I can say without any reservation..."
169,"Ilse and the Olympic Games is a film about two young people who go to see an Olympics in Berlin, but they forget their tickets."
170,"This is a film that's almost impossible to miss.br /> It tells the story of an American soldier who goes on hunger strike in France, forcing him and his fellow soldiers into battle against Nazi forces!"
171,"It's been a while since I saw one of the new releases from Warner Brothers, but it was worth seeing."
172,"A short film by the master of puppet animation, Jiri Trbrnka./p>"
173,"The last film by the Czech animator Ji Trnka, who died in 2014, was a fable about an artist persecuted for his only hand."
174,"The late animator and filmmaker Branko Trnka, who was best known for his short film ""Night Angel"" about a puppet hero placed in the opposition's hand during World War II."
175,"I've been a fan of Czech animation for many years, but until recently had never seen one that was so good."
176,"RUKA is a stop-motion animation by Jir Trnka, based on the short story ""Pot Making"" (by Pavel Vejvoda) and was banned in Czechoslovakia during Soviet rule."
177,"I watched Book, Candlelocks last night at a screening in New York City and it was the first time that my memory of this film had been jogged."
178,"The Adventures of Queenie and the Siamese Cat is a romantic comedy about two lovers who fall in love with each other, but are unable to marry because they both have dreams that turn into true loves."
179,I have seen this movie a few times and it is always good to see Jimmy Stewart back on the big screen.
180,"One of the best-loved plays in New York City's summer reading series, ""It was light"" is being shown on a big screen at The Public Library."
181,The film is a bit of anticlimactic but it's still worth seeing. and
182,"The classic 1950s witch tale ""Picnic"" is back on the big screen this weekend, with a new cast and an all-new story by William Inge."
183,Vertigo is a film that has been around for over 50 years but it's only in the last few months or so we have seen this classic revisit its roots.
184,"""Vertigo"" is one of those films that you just want to see again.br />"
185,"The witches of New York are back in a new film by the legendary British director David Lean, who wrote and directed such classics as ""The Birds"" (which won an Oscar for best picture), his adaptationof Ian McEwan's novel Atonement - which was adapted into two films after its original Broadway run."
186,"In the wake of a recent article about one my all-time favourite movies, I thought it would be fun to ask you guys what your thoughts are on this classic."
187,"The latest from the Oscar-winning director of La Tete Haute (or, more precisely: Le Touquet) is a visual feast that's as much about colour and design than it was anything else."
188,"""Killer Tongue"" is a weird, bloody and confusing film about an ancient Egyptian man who has been linked to mermaid cults."
189,"The film Gmez Pereira, directed by Manuel Gomez-Pereira and starring Eduard Fernandez ('El viernes de la Plata), Jean Pierre Taut (16:00 GMT)and Joan SerraTél (21:00GMT)."
190,I've been meaning to watch this film for a long time.<n> and Hacen is the best actor in his generation (by far).
191,I'm not a big fan of movies with foreigners in them.<n> and see this movie after the main song...
192,This is a good film to watch if you're looking for an action flick with some western elements.
193,I'm a big fan of westerns and this is one that fits the bill.<n>
194,"Marlon Dudikoff is one of those actors who, if you're not into action films or westerns and don t mind a bit more than the average guy doing it then there are some good ones outthere."
195,"Michael Dudikoff, who was best known for his role as the title character in ""The Godfather"" and later films like The Crow."
196,"The film Hare Rama Krishna, which was released in 1971, is a love story between two brothers from Nepal."
197,The brother-sister relationship is a subject which has been ignored in most of the movies.
198,"I've been looking for a movie that has some kind of emotional impact on me, and this one is certainly it."
199,"In our series of letters from Indian journalists, filmmaker and columnist Dev Anand looks back at his best films."
